id,todo,completed,userId
1,Do something nice for someone you care about,false,152
2,Memorize a poem,true,13
3,Watch a classic movie,true,68
4,Watch a documentary,false,84
5,Invest in cryptocurrency,false,163
6,Contribute code or a monetary donation to an open-source software project,false,69
7,Solve a Rubik's cube,true,76
8,Bake pastries for yourself and neighbor,true,198
9,Go see a Broadway production,false,7
10,Write a thank you letter to an influential person in your life,true,9
11,Invite some friends over for a game night,false,104
12,Have a football scrimmage with some friends,false,32
13,Text a friend you haven't talked to in a long time,true,2
14,Organize pantry,false,46
15,Buy a new house decoration,true,105
16,Plan a vacation you've always wanted to take,true,162
17,Clean out car,false,71
18,Draw and color a Mandala,true,6
19,Create a cookbook with favorite recipes,true,53
20,Bake a pie with some friends,false,162
21,Create a compost pile,false,13
22,Take a hike at a local park,true,37
23,Take a class at local community center that interests you,true,65
24,Research a topic interested in,true,130
25,Plan a trip to another country,false,140
26,Improve touch typing,false,178
27,Learn Express.js,false,194
28,Learn calligraphy,false,80
29,Have a photo session with some friends,true,91
30,Go to the gym,true,142
